code,version,title_en,title_ar,regulator,category,mandatory,controls,domains
NCA-ECC,2.0,Essential Cybersecurity Controls,الضوابط الأساسية للأمن السيبراني,NCA,cybersecurity,True,114,5
NCA-CCC,1.0,Cloud Cybersecurity Controls,ضوابط الأمن السيبراني السحابية,NCA,cybersecurity,True,67,4
NCA-OTCC,1.0,Operational Technology Cybersecurity Controls,ضوابط الأمن السيبراني للتقنيات التشغيلية,NCA,cybersecurity,True,53,4
NCA-CTCC,1.0,Critical Systems Cybersecurity Controls,ضوابط الأمن السيبراني للأنظمة الحساسة,NCA,cybersecurity,True,45,3
NCA-DCC,1.0,Data Cybersecurity Controls,ضوابط الأمن السيبراني للبيانات,NCA,cybersecurity,True,38,3
NCA-TCC,1.0,Telecom Cybersecurity Controls,ضوابط الأمن السيبراني للاتصالات,NCA,cybersecurity,True,42,3
NCA-CSCC,1.0,Cybersecurity Compliance Certificate,شهادة الامتثال للأمن السيبراني,NCA,cybersecurity,True,30,2
NCA-NCSA,1.0,National Cybersecurity Assessment,التقييم الوطني للأمن السيبراني,NCA,cybersecurity,True,25,2
NCA-BCMS,1.0,Business Continuity Management for Cybersecurity,إدارة استمرارية الأعمال للأمن السيبراني,NCA,cybersecurity,True,35,3
NCA-IRCC,1.0,Incident Response Cybersecurity Controls,ضوابط الاستجابة للحوادث السيبرانية,NCA,cybersecurity,True,28,2
SAMA-CSF,2.0,Cybersecurity Framework,الإطار الإرشادي للأمن السيبراني,SAMA,cybersecurity,True,156,6
SAMA-AML,5.0,Anti-Money Laundering Rules,قواعد مكافحة غسل الأموال,SAMA,aml,True,167,8
SAMA-CFT,3.0,Counter Terrorist Financing Rules,قواعد مكافحة تمويل الإرهاب,SAMA,aml,True,89,5
SAMA-PSR,1.2,Payment Services Regulations,تنظيم خدمات الدفع,SAMA,payment,True,67,4
SAMA-CCP,2.1,Consumer Protection Principles,مبادئ حماية المستهلك,SAMA,consumer,True,34,3
SAMA-BCM,2.0,Business Continuity Management,إدارة استمرارية الأعمال,SAMA,bcm,True,45,4
SAMA-OSP,1.0,Outsourcing Policy,سياسة الإسناد الخارجي,SAMA,operational,True,38,3
SAMA-ORM,1.0,Operational Risk Management,إدارة المخاطر التشغيلية,SAMA,risk,True,52,4
SAMA-ICG,2.0,Internal Control Guidelines,إرشادات الرقابة الداخلية,SAMA,governance,True,48,4
SAMA-CGR,2.0,Corporate Governance Regulations,لوائح حوكمة الشركات,SAMA,governance,True,65,5
SAMA-OB,1.0,Open Banking Framework,إطار الخدمات المصرفية المفتوحة,SAMA,fintech,True,42,3
SAMA-SANDBOX,2.0,Regulatory Sandbox Framework,إطار البيئة التجريبية التنظيمية,SAMA,fintech,False,28,2
SAMA-BNPL,1.0,Buy Now Pay Later Regulations,لوائح الشراء الآن والدفع لاحقاً,SAMA,fintech,True,35,3
SAMA-CRYPTO,1.0,Virtual Assets Regulations,لوائح الأصول الافتراضية,SAMA,fintech,True,58,4
SAMA-INSURANCE,3.0,Insurance Supervision Framework,إطار الإشراف على التأمين,SAMA,insurance,True,78,5
CMA-CG,2022,Corporate Governance Regulations,لائحة حوكمة الشركات,CMA,governance,True,94,6
CMA-LR,2023,Listing Rules,قواعد الإدراج,CMA,listing,True,128,8
CMA-AML,2022,AML/CFT Rules for Capital Market,قواعد مكافحة غسل الأموال لسوق المال,CMA,aml,True,76,5
CMA-IC,2022,Internal Controls Regulations,لائحة الرقابة الداخلية,CMA,governance,True,82,5
CMA-DR,2023,Disclosure Regulations,لائحة الإفصاح,CMA,disclosure,True,65,4
CMA-MC,2022,Market Conduct Regulations,لائحة سلوك السوق,CMA,conduct,True,58,4
CMA-IM,2022,Investment Management Regulations,لائحة إدارة الاستثمارات,CMA,investment,True,72,5
CMA-MF,2022,Mutual Funds Regulations,لائحة صناديق الاستثمار,CMA,funds,True,68,4
CMA-REIT,2021,Real Estate Investment Traded Funds,صناديق الاستثمار العقارية المتداولة,CMA,funds,True,45,3
CMA-AP,2022,Authorized Persons Regulations,لائحة الأشخاص المرخص لهم,CMA,licensing,True,85,6
CMA-SUKUK,2022,Sukuk & Debt Instruments Regulations,لائحة الصكوك وأدوات الدين,CMA,sukuk,True,52,4
CMA-TAKEOVER,2022,Mergers & Acquisitions Regulations,لائحة الاندماج والاستحواذ,CMA,ma,True,48,3
PDPL,1.0,Personal Data Protection Law,نظام حماية البيانات الشخصية,SDAIA,privacy,True,45,4
PDPL-IR,1.0,PDPL Implementing Regulations,اللائحة التنفيذية لنظام حماية البيانات,SDAIA,privacy,True,89,6
PDPL-DPO,1.0,Data Protection Officer Guidelines,إرشادات مسؤول حماية البيانات,SDAIA,privacy,True,28,2
PDPL-DPIA,1.0,Data Protection Impact Assessment,تقييم أثر حماية البيانات,SDAIA,privacy,True,32,3
PDPL-XBORDER,1.0,Cross-Border Data Transfer Rules,قواعد نقل البيانات عبر الحدود,SDAIA,privacy,True,25,2
ZATCA-EINV-P1,1.0,E-Invoicing Phase 1 (Generation),الفوترة الإلكترونية - المرحلة الأولى,ZATCA,tax,True,12,2
ZATCA-EINV-P2,2.0,E-Invoicing Phase 2 (Integration),الفوترة الإلكترونية - المرحلة الثانية,ZATCA,tax,True,23,3
ZATCA-VAT,2023,VAT Implementing Regulations,اللائحة التنفيذية لضريبة القيمة المضافة,ZATCA,tax,True,76,5
ZATCA-WHT,2023,Withholding Tax Regulations,لائحة ضريبة الاستقطاع,ZATCA,tax,True,42,3
ZATCA-ZAKAT,2023,Zakat Regulations,لائحة الزكاة,ZATCA,zakat,True,58,4
ZATCA-CIT,2023,Corporate Income Tax Regulations,لائحة ضريبة دخل الشركات,ZATCA,tax,True,65,4
ZATCA-CUSTOMS,2023,Customs Regulations,لائحة الجمارك,ZATCA,customs,True,82,5
ZATCA-TP,2022,Transfer Pricing Regulations,لائحة التسعير التحويلي,ZATCA,tax,True,38,3
DGA-CloudFirst,2024,Cloud First Policy,سياسة السحابة أولاً,DGA,cloud,True,28,2
DGA-DMI,2024,Digital Maturity Index,مؤشر النضج الرقمي,DGA,digital,True,42,4
DGA-OpenData,2023,Open Data Policy,سياسة البيانات المفتوحة,DGA,data,True,23,2
DGA-DG,2023,Data Governance Framework,إطار حوكمة البيانات,DGA,governance,True,67,5
DGA-API,2023,API Standards & Guidelines,معايير وإرشادات الواجهات البرمجية,DGA,technical,True,35,3
DGA-UX,2023,User Experience Standards,معايير تجربة المستخدم,DGA,design,False,45,3
CST-CLOUD,1.1,Cloud Computing Regulatory Framework,إطار تنظيم الحوسبة السحابية,CST,cloud,True,78,5
CST-ICT,2.0,ICT Service Provider Regulations,لائحة مقدمي خدمات تقنية المعلومات,CST,telecom,True,58,4
CST-DATA-LOC,1.0,Data Localization Requirements,متطلبات توطين البيانات,CST,data,True,32,2
CST-5G,1.0,5G Security Framework,إطار أمن شبكات الجيل الخامس,CST,telecom,True,45,3
CST-IOT,1.0,IoT Security Guidelines,إرشادات أمن إنترنت الأشياء,CST,iot,True,52,4
